Timestamp,ECG,Temp,BPM,SpO2,RR
2026-06-28T10:19:27.881203,14.3,27.0,185.8,93.4,30.9
2026-06-28T10:19:27.892021,16.62,27.0,185.8,93.4,30.9
2026-06-28T10:19:27.925771,13.72,27.0,185.8,93.4,30.9
2026-06-28T10:19:27.929074,8.26,27.0,185.8,93.4,30.9
2026-06-28T10:19:27.967836,9.86,27.0,185.8,93.4,30.9
2026-06-28T10:19:27.971245,10.81,27.0,185.8,93.4,30.9
2026-06-28T10:19:27.974159,11.78,27.0,185.8,93.4,30.9
2026-06-28T10:19:28.054046,3.71,27.0,185.8,93.4,30.9
2026-06-28T10:19:28.060527,10.68,27.0,185.8,93.4,30.9
2026-06-28T10:19:28.066439,4.43,27.0,185.8,93.4,30.9
2026-06-28T10:19:28.113116,3.06,27.0,185.8,93.4,30.9
2026-06-28T10:19:28.116066,1.13,27.0,185.8,93.4,30.9
2026-06-28T10:19:28.118808,0.92,27.0,185.8,93.4,30.9
2026-06-28T10:19:28.165315,0.67,27.0,185.8,93.4,30.9
2026-06-28T10:19:28.168398,-3.36,27.0,185.8,93.4,30.9
2026-06-28T10:19:28.211515,2.74,27.0,185.8,93.4,30.9
2026-06-28T10:19:28.216512,-9.16,27.0,185.8,93.4,30.9
2026-06-28T10:19:28.219143,-4.34,27.0,185.8,93.4,30.9
2026-06-28T10:19:28.328178,-8.83,27.0,185.8,93.4,30.9
2026-06-28T10:19:28.331067,-7.84,27.0,185.8,93.4,30.9
2026-06-28T10:19:28.336060,-8.88,27.0,185.8,93.4,30.9
2026-06-28T10:19:28.338898,-7.75,27.0,185.8,93.4,30.9
2026-06-28T10:19:28.386185,-8.04,27.0,185.8,93.4,30.9
2026-06-28T10:19:28.389239,-5.13,27.0,185.8,93.4,30.9
2026-06-28T10:19:28.434360,-9.42,27.0,185.8,93.4,30.9
2026-06-28T10:19:28.437090,-9.97,27.0,185.8,93.4,30.9
2026-06-28T10:19:28.492799,-11.24,27.0,185.8,93.4,30.9
2026-06-28T10:19:28.495370,-6.86,27.0,185.8,93.4,30.9
2026-06-28T10:19:28.501989,-6.39,27.0,185.8,93.4,30.9
2026-06-28T10:19:28.504192,-11.67,27.0,185.8,93.4,30.9
2026-06-28T10:19:28.506475,-5.33,27.0,185.8,93.4,30.9
2026-06-28T10:19:28.553586,-17.38,27.0,185.8,93.4,30.9
2026-06-28T10:19:28.555997,-9.27,27.0,185.8,93.4,30.9
2026-06-28T10:19:28.599130,-7.14,27.0,185.8,93.4,30.9
2026-06-28T10:19:28.601417,-5.99,27.0,185.8,93.4,30.9
2026-06-28T10:19:28.648375,-8.93,27.0,185.8,93.4,30.9
2026-06-28T10:19:28.669736,-5.02,27.0,185.8,93.4,30.9
2026-06-28T10:19:28.702559,-8.09,27.0,185.8,93.4,30.9
2026-06-28T10:19:28.705876,-8.8,27.0,185.8,93.4,30.9
2026-06-28T10:19:28.708058,-9.45,27.0,185.8,93.4,30.9
2026-06-28T10:19:28.744857,-8.95,27.0,185.8,93.4,30.9
2026-06-28T10:19:28.747206,-7.22,27.0,185.8,93.4,30.9
2026-06-28T10:19:28.796934,-7.55,27.0,185.8,93.4,30.9
2026-06-28T10:19:28.799667,-6.28,27.0,185.8,93.4,30.9
2026-06-28T10:19:28.843941,-2.76,27.0,185.8,93.4,30.9
2026-06-28T10:19:28.847052,2.07,27.0,185.8,93.4,30.9
2026-06-28T10:19:28.892808,-2.68,27.0,185.8,93.4,30.9
2026-06-28T10:19:28.895511,-6.62,27.0,185.8,93.4,30.9
2026-06-28T10:19:28.943962,-2.62,27.0,185.8,93.5,30.9
2026-06-28T10:19:28.949494,-4.9,27.0,185.8,93.5,30.9
2026-06-28T10:19:28.955703,-13.94,27.0,185.8,93.5,30.9
2026-06-28T10:19:29.004573,-9.85,27.0,185.8,93.5,30.9
2026-06-28T10:19:29.010378,2.02,27.0,185.8,93.4,30.9
2026-06-28T10:19:29.039073,3.57,27.0,185.8,93.4,30.9
2026-06-28T10:19:29.042090,-5.04,27.0,185.8,93.4,30.9
2026-06-28T10:19:29.087240,1.7,27.0,185.8,93.4,30.9
2026-06-28T10:19:29.089843,2.07,27.0,185.8,93.4,30.9
2026-06-28T10:19:29.136644,1.05,27.0,185.8,93.4,30.9
2026-06-28T10:19:29.138931,0.98,27.0,185.8,93.4,30.9
2026-06-28T10:19:29.185144,6.95,27.0,185.8,93.4,30.9
2026-06-28T10:19:29.188062,-2.43,27.0,185.8,93.4,30.9
2026-06-28T10:19:29.233870,0.14,27.0,185.8,93.4,30.9
2026-06-28T10:19:29.236909,-2.8,27.0,185.8,93.4,30.9
2026-06-28T10:19:29.240005,-10.39,27.0,185.8,93.4,30.9
2026-06-28T10:19:29.283129,3.81,27.0,185.8,93.4,30.9
2026-06-28T10:19:29.330759,2.55,27.0,185.8,93.4,30.9
2026-06-28T10:19:29.333419,5.13,27.0,185.8,93.4,30.9
2026-06-28T10:19:29.336063,-5.69,27.0,185.8,93.4,30.9
2026-06-28T10:19:29.380152,1.35,27.0,185.8,93.4,30.9
2026-06-28T10:19:29.382561,-2.17,27.0,185.8,93.4,30.9
2026-06-28T10:19:29.384855,-0.09,27.0,185.8,93.4,30.9
2026-06-28T10:19:29.430144,2.42,27.0,185.8,93.4,30.9
2026-06-28T10:19:29.432843,8.73,27.0,185.8,93.4,30.9
2026-06-28T10:19:29.477414,13.04,27.0,185.8,93.4,30.9
2026-06-28T10:19:29.479891,8.34,27.0,185.8,93.4,30.9
2026-06-28T10:19:29.526048,1.89,27.0,185.8,93.4,30.9
2026-06-28T10:19:29.529293,4.78,27.0,185.8,93.4,30.9
2026-06-28T10:19:29.575047,6.76,27.0,185.8,93.5,30.9
2026-06-28T10:19:29.577177,-0.12,27.0,185.8,93.5,30.9
2026-06-28T10:19:29.623945,5.3,27.0,185.8,93.5,30.9
2026-06-28T10:19:29.626253,-7.14,27.0,185.8,93.5,30.9
2026-06-28T10:19:29.673803,6.37,27.0,185.8,93.4,30.9
2026-06-28T10:19:29.676182,-7.28,27.0,185.8,93.4,30.9
2026-06-28T10:19:29.678403,1.55,27.0,185.8,93.4,30.9
2026-06-28T10:19:29.721253,8.33,27.0,185.8,93.4,30.9
2026-06-28T10:19:29.724032,3.39,27.0,185.8,93.4,30.9
2026-06-28T10:19:29.771576,-3.72,27.0,185.8,93.4,30.9
2026-06-28T10:19:29.774270,-6.23,27.0,185.8,93.4,30.9
2026-06-28T10:19:29.819782,9.04,27.0,185.8,93.4,30.9
2026-06-28T10:19:29.822477,2.71,27.0,185.8,93.4,30.9
2026-06-28T10:19:29.878595,9.81,27.0,185.8,93.4,30.9
2026-06-28T10:19:29.882994,6.69,27.0,185.8,93.4,30.9
2026-06-28T10:19:29.887379,3.23,27.0,185.8,93.4,30.9
2026-06-28T10:19:29.939806,8.57,27.0,185.8,93.4,30.9
2026-06-28T10:19:29.946038,1.06,27.0,185.8,93.4,30.9
2026-06-28T10:19:29.991852,15.72,27.0,185.8,93.4,30.9
2026-06-28T10:19:29.999661,-6.14,27.0,185.8,93.4,30.9
2026-06-28T10:19:30.027658,1.67,27.0,185.8,93.4,30.9
2026-06-28T10:19:30.327471,-7.29,27.0,185.8,93.4,30.9
2026-06-28T10:19:30.329608,-0.15,27.0,185.8,93.4,30.9
2026-06-28T10:19:30.331633,3.08,27.0,185.8,93.4,30.9
2026-06-28T10:19:30.333636,-5.62,27.0,185.8,93.4,30.9
2026-06-28T10:19:30.335818,-0.3,27.0,185.8,93.4,30.9
2026-06-28T10:19:30.337979,0.24,27.0,185.8,93.4,30.9
2026-06-28T10:19:30.430731,-6.13,27.0,185.8,93.4,30.9
2026-06-28T10:19:30.432861,1.95,27.0,185.8,93.4,30.9
2026-06-28T10:19:30.434987,6.83,27.0,185.8,93.5,30.9
2026-06-28T10:19:30.436987,0.24,27.0,185.8,93.5,30.9
2026-06-28T10:19:30.439391,5.75,27.0,185.8,93.5,30.9
2026-06-28T10:19:30.493806,3.49,27.0,185.8,93.5,30.9
2026-06-28T10:19:30.495903,-4.12,27.0,185.8,93.4,30.9
2026-06-28T10:19:30.498024,11.96,27.0,185.8,93.4,30.9
2026-06-28T10:19:30.500083,7.62,27.0,185.8,93.4,30.9
2026-06-28T10:19:30.503571,-1.22,27.0,185.8,93.4,30.9
2026-06-28T10:19:30.505882,5.72,27.0,185.8,93.4,30.9
2026-06-28T10:19:30.549803,-0.66,27.0,185.8,93.4,30.9
2026-06-28T10:19:30.551952,1.93,27.0,185.8,93.4,30.9
2026-06-28T10:19:30.553952,2.6,27.0,185.8,93.4,30.9
2026-06-28T10:19:30.556305,-6.45,27.0,185.8,93.4,30.9
2026-06-28T10:19:30.558499,4.32,27.0,185.8,93.4,30.9
2026-06-28T10:19:30.560780,6.32,27.0,185.8,93.4,30.9
2026-06-28T10:19:30.606786,2.27,27.0,185.8,93.4,30.9
2026-06-28T10:19:30.608827,-20.0,27.0,185.8,93.4,30.9
2026-06-28T10:19:30.610726,-1.76,27.0,185.8,93.4,30.9
2026-06-28T10:19:30.612384,13.13,27.0,185.8,93.4,30.9
2026-06-28T10:19:30.614332,-0.71,27.0,185.8,93.4,30.9
2026-06-28T10:19:30.656567,3.82,27.0,185.8,93.4,30.9
2026-06-28T10:19:30.659016,-9.25,27.0,185.8,93.4,30.9
2026-06-28T10:19:30.707755,-9.32,27.0,185.8,93.4,30.9
